analyzer,analyzer_name,variant,variant_name,model,attempted,compiled,compilation_rate,compiled_observed,compiled_complete,compiled_partial,compiled_errors,compiled_findings,compiled_findings_per_kloc,compiled_complete_findings,compiled_complete_findings_per_kloc,full_pass,full_pass_rate,full_pass_observed,full_pass_complete,full_pass_partial,full_pass_errors,full_pass_findings,full_pass_findings_per_kloc,full_pass_complete_findings,full_pass_complete_findings_per_kloc,safe_full_pass,secure_pass_at_1,safe_at_full_pass,safe_at_complete_full_pass
wake,Wake (Low+),full,Full,claude-sonnet-4-5,81,73,0.9012345679012346,73,73,0,0,26,1.6305029474476358,26,1.6305029474476358,42,0.5185185185185185,42,42,0,0,23,3.354725787631272,23,3.354725787631272,36,0.4444444444444444,0.8571428571428571,0.8571428571428571
wake,Wake (Low+),full,Full,gpt-5-mini,81,64,0.7901234567901234,64,64,0,0,26,2.0781712093357845,26,2.0781712093357845,20,0.24691358024691357,20,20,0,0,18,7.092198581560284,18,7.092198581560284,17,0.20987654320987653,0.85,0.85
wake,Wake (Low+),full,Full,gpt-5.1,81,67,0.8271604938271605,67,67,0,0,25,1.4053628646916632,25,1.4053628646916632,23,0.2839506172839506,23,23,0,0,7,2.4544179523141656,7,2.4544179523141656,21,0.25925925925925924,0.9130434782608695,0.9130434782608695
wake,Wake (Low+),no_slither,w/o Slither,claude-sonnet-4-5,81,68,0.8395061728395061,68,68,0,0,26,1.681106944264839,26,1.681106944264839,37,0.4567901234567901,37,37,0,0,23,3.7313432835820897,23,3.7313432835820897,31,0.38271604938271603,0.8378378378378378,0.8378378378378378
wake,Wake (Low+),no_slither,w/o Slither,gpt-5-mini,81,61,0.7530864197530864,61,61,0,0,26,2.355072463768116,26,2.355072463768116,23,0.2839506172839506,23,23,0,0,19,7.216103304215723,19,7.216103304215723,19,0.2345679012345679,0.8260869565217391,0.8260869565217391
wake,Wake (Low+),no_slither,w/o Slither,gpt-5.1,81,61,0.7530864197530864,61,61,0,0,13,0.8412605966479001,13,0.8412605966479001,20,0.24691358024691357,20,20,0,0,7,2.6933435936898804,7,2.6933435936898804,18,0.2222222222222222,0.9,0.9
semgrep,Semgrep + Decurity,full,Full,claude-sonnet-4-5,81,73,0.9012345679012346,73,65,8,0,112,7.023705004389816,112,9.859154929577466,42,0.5185185185185185,42,40,2,0,22,3.208868144690782,22,4.068047337278106,30,0.37037037037037035,0.7142857142857143,0.75
semgrep,Semgrep + Decurity,full,Full,gpt-5-mini,81,64,0.7901234567901234,64,64,0,0,17,1.358804252258013,17,1.358804252258013,20,0.24691358024691357,20,20,0,0,3,1.182033096926714,3,1.182033096926714,17,0.20987654320987653,0.85,0.85
semgrep,Semgrep + Decurity,full,Full,gpt-5.1,81,67,0.8271604938271605,67,62,5,0,51,2.8669402439709932,51,3.3799456557757304,23,0.2839506172839506,23,23,0,0,3,1.0518934081346425,3,1.0518934081346425,21,0.25925925925925924,0.9130434782608695,0.9130434782608695
semgrep,Semgrep + Decurity,no_slither,w/o Slither,claude-sonnet-4-5,81,68,0.8395061728395061,68,59,9,0,125,8.082244924350189,106,9.746230231702832,37,0.4567901234567901,37,34,3,0,19,3.082414016872161,19,4.074630066480806,26,0.32098765432098764,0.7027027027027027,0.7647058823529411
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5-mini,81,61,0.7530864197530864,61,61,0,0,13,1.177536231884058,13,1.177536231884058,23,0.2839506172839506,23,23,0,0,1,0.379794910748196,1,0.379794910748196,22,0.2716049382716049,0.9565217391304348,0.9565217391304348
semgrep,Semgrep + Decurity,no_slither,w/o Slither,gpt-5.1,81,61,0.7530864197530864,61,57,4,0,38,2.4590694363554,38,2.829064919594997,20,0.24691358024691357,20,20,0,0,4,1.5390534821085031,4,1.5390534821085031,17,0.20987654320987653,0.85,0.85
